schedule_id,total_neighbors,feasible_neighbors,feasible_ratio,avg_noRepeat,avg_maxStreak,avg_doubleRoundRobin,avg_total,min_total,max_total
0,2548,102,0.0400314,1.14286,3.51727,0,4.66013,0,16
1,2548,115,0.0451334,1.14286,3.51727,0,4.66013,0,16
2,2548,128,0.0502355,1.14286,3.31122,0,4.45408,0,19
3,2548,110,0.0431711,1.14286,3.54199,0,4.68485,0,20
4,2548,97,0.0380691,1.14286,3.65424,0,4.7971,0,16
5,2548,117,0.0459184,1.14286,3.56672,0,4.70958,0,21
6,2548,130,0.0510204,1.14286,3.45447,0,4.59733,0,19
7,2548,95,0.0372841,1.14286,3.30495,0,4.4478,0,20
8,2548,100,0.0392465,1.14286,3.30495,0,4.4478,0,20
9,2548,96,0.0376766,1.14286,3.32378,0,4.46664,0,18
